CurrentTime;ElapsedTime;0_INVITE_Sent;0_INVITE_Retrans;0_INVITE_Timeout;1_100_Recv;1_100_Retrans;1_100_Timeout;1_100_Unexp;2_486_Recv;2_486_Retrans;2_486_Timeout;2_486_Unexp;3_ACK_Sent;3_ACK_Retrans;3_ACK_Timeout;4_Pause_Sessions;4_Pause_Unexp;
2026-08-09	06:37:18.994599	1786257438.994599;00:00:00:001000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-08-09	06:37:19.995675	1786257439.995675;00:00:01:002000;19;0;0;19;0;0;0;19;0;0;0;19;0;0;19;0;
2026-08-09	06:37:20.998060	1786257440.998060;00:00:02:004000;40;0;0;40;0;0;0;40;0;0;0;40;0;0;39;0;
2026-08-09	06:37:21.999050	1786257441.999050;00:00:03:005000;60;0;0;60;0;0;0;60;0;0;0;60;0;0;59;0;
2026-08-09	06:37:23.001233	1786257443.001233;00:00:04:008000;80;0;0;80;0;0;0;80;0;0;0;80;0;0;80;0;
2026-08-09	06:37:24.002822	1786257444.002822;00:00:05:009000;100;0;0;100;0;0;0;100;0;0;0;100;0;0;100;0;
2026-08-09	06:37:24.025445	1786257444.025445;00:00:05:032000;100;0;0;100;0;0;0;100;0;0;0;100;0;0;100;0;
2026-08-09	06:37:24.025614	1786257444.025614;00:00:05:032000;100;0;0;100;0;0;0;100;0;0;0;100;0;0;100;0;
