CurrentTime;ElapsedTime;0_INVITE_Sent;0_INVITE_Retrans;0_INVITE_Timeout;1_503_Recv;1_503_Retrans;1_503_Timeout;1_503_Unexp;2_ACK_Sent;2_ACK_Retrans;2_ACK_Timeout;3_Pause_Sessions;3_Pause_Unexp;
2026-08-02	18:36:30.418812	1785695790.418812;00:00:00:001000;0;0;0;0;0;0;0;0;0;0;0;0;
2026-08-02	18:36:32.448226	1785695792.448226;00:00:02:031000;100;0;0;100;0;0;0;100;0;0;100;0;
2026-08-02	18:36:32.448399	1785695792.448399;00:00:02:031000;100;0;0;100;0;0;0;100;0;0;100;0;
