StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTimeg03_overload(P);ResponseTimeg03_overload(C);ResponseTimeg03_overloadStDev(P);ResponseTimeg03_overloadStDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartitiong03_overload;ResponseTimeRepartitiong03_overload_<1;ResponseTimeRepartitiong03_overload_<2;ResponseTimeRepartitiong03_overload_<5;ResponseTimeRepartitiong03_overload_<10;ResponseTimeRepartitiong03_overload_<20;ResponseTimeRepartitiong03_overload_<30;ResponseTimeRepartitiong03_overload_<40;ResponseTimeRepartitiong03_overload_<50;ResponseTimeRepartitiong03_overload_<75;ResponseTimeRepartitiong03_overload_<100;ResponseTimeRepartitiong03_overload_<150;ResponseTimeRepartitiong03_overload_<200;ResponseTimeRepartitiong03_overload_<250;ResponseTimeRepartitiong03_overload_<500;ResponseTimeRepartitiong03_overload_<1000;ResponseTimeRepartitiong03_overload_>=1000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<25;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<250;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_>=1000;
2026-08-02	18:36:30.416843	1785695790.416843;2026-08-02	18:36:30.416843	1785695790.416843;2026-08-02	18:36:30.418408	1785695790.418408;00:00:00;00:00:00;50.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2026-08-02	18:36:30.416843	1785695790.416843;2026-08-02	18:36:30.418828	1785695790.418828;2026-08-02	18:36:32.448180	1785695792.448180;00:00:02;00:00:02;50.000;49.285;49.237;0;0;100;100;100;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:028000;00:00:00:028000;00:00:00:000000;00:00:00:000000;;86;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;100;0;0;0;0;0;
2026-08-02	18:36:30.416843	1785695790.416843;2026-08-02	18:36:32.448236	1785695792.448236;2026-08-02	18:36:32.448361	1785695792.448361;00:00:00;00:00:02;50.000;0.000;49.237;0;0;0;100;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:028000;00:00:00:000000;00:00:00:000000;;86;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;100;0;0;0;0;0;
