timestamp,name,cpu_percent,mem_usage,mem_percent,pids
2026-08-09T06:56:26.529331773Z,converact-g03-53-rustpbx-b63383b,16.09%,32.69MiB / 7.506GiB,0.43%,9
2026-08-09T06:56:26.529331773Z,converact-g03-53-router-b63383b,9.09%,42.6MiB / 7.506GiB,0.55%,17
2026-08-09T06:56:26.529331773Z,converact-g03-53-pg-b63383b,0.00%,80.4MiB / 7.506GiB,1.05%,9
2026-08-09T06:56:26.529331773Z,converact-g03-53-capacity-q200-b63383b,9.75%,1.164MiB / 7.506GiB,0.02%,1
2026-08-09T06:56:30.113562347Z,converact-g03-53-rustpbx-b63383b,16.20%,52.93MiB / 7.506GiB,0.69%,9
2026-08-09T06:56:30.113562347Z,converact-g03-53-router-b63383b,8.30%,42.85MiB / 7.506GiB,0.56%,17
2026-08-09T06:56:30.113562347Z,converact-g03-53-pg-b63383b,0.00%,80.4MiB / 7.506GiB,1.05%,9
2026-08-09T06:56:30.113562347Z,converact-g03-53-capacity-q200-b63383b,9.79%,1.469MiB / 7.506GiB,0.02%,1
2026-08-09T06:56:33.680077526Z,converact-g03-53-rustpbx-b63383b,16.10%,54.68MiB / 7.506GiB,0.71%,9
2026-08-09T06:56:33.680077526Z,converact-g03-53-router-b63383b,8.58%,43.98MiB / 7.506GiB,0.57%,17
2026-08-09T06:56:33.680077526Z,converact-g03-53-pg-b63383b,0.00%,80.4MiB / 7.506GiB,1.05%,9
2026-08-09T06:56:33.680077526Z,converact-g03-53-capacity-q200-b63383b,9.70%,1.703MiB / 7.506GiB,0.02%,1
2026-08-09T06:56:37.249399343Z,converact-g03-53-rustpbx-b63383b,16.43%,56.12MiB / 7.506GiB,0.73%,9
2026-08-09T06:56:37.249399343Z,converact-g03-53-router-b63383b,10.17%,44.12MiB / 7.506GiB,0.57%,17
2026-08-09T06:56:37.249399343Z,converact-g03-53-pg-b63383b,0.00%,80.4MiB / 7.506GiB,1.05%,9
2026-08-09T06:56:37.249399343Z,converact-g03-53-capacity-q200-b63383b,9.84%,2.016MiB / 7.506GiB,0.03%,1
2026-08-09T06:56:40.815489246Z,converact-g03-53-rustpbx-b63383b,1.41%,56.42MiB / 7.506GiB,0.73%,9
2026-08-09T06:56:40.815489246Z,converact-g03-53-router-b63383b,0.13%,44.21MiB / 7.506GiB,0.58%,17
2026-08-09T06:56:40.815489246Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:56:40.815489246Z,converact-g03-53-capacity-q200-b63383b,0.00%,0B / 0B,0.00%,0
