procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 1133496 4308496 159612 2488376    0    0     7    89 1027    9  2  1 97  0  0  0
 0  0 1133496 4293568 159628 2489056    8    0    68   584 6365 12240 21 13 65  1  0  0
11  0 1133496 4293568 159664 2489512    0    0     0   400 5573 9888 17  6 78  0  0  0
 0  0 1133496 4293568 159664 2489972    0    0     0     0 5621 10099 16  8 77  0  0  0
 0  0 1133240 4293568 159664 2490404    0    0     0     0 5291 9135 14  7 79  0  0  0
 0  0 1133240 4291552 159664 2490876    0    0     0     0 5501 9799 15  7 78  0  0  0
 0  0 1133240 4289032 159664 2491332    0    0     0  2252 5436 8880 13  5 82  0  0  0
 0  0 1133240 4284748 159668 2491752    0    0     0   116 5811 10121 15  8 77  0  0  0
 0  0 1133240 4288528 159668 2492240    0    0     0     0 5825 9810 15  7 77  0  0  0
 0  0 1133240 4287268 159668 2492692    0    0     0     4 6175 11159 17  8 76  0  0  0
 0  0 1133240 4286288 159668 2493208   16    0    80     0 5647 9465 14  7 79  0  0  0
 0  0 1133240 4274948 159668 2493608    0    0     0    28 5848 10418 18  9 74  0  0  0
 0  0 1133240 4273436 159708 2494276    0    0   152   428 5734 9318 20  8 72  0  0  0
 0  0 1133240 4267640 159708 2494732    0    0     0     0 6130 10959 16  7 77  0  0  0
 0  0 1133240 4267640 159708 2495192    0    0     0     0 5369 8796 13  6 82  0  0  0
 1  0 1133240 4267640 159708 2495596    0    0     0     0 5970 10865 16  9 74  0  0  0
 0  0 1133240 4287732 159732 2495900    8    0    88  6048 4073 7599  9  9 82  0  0  0
 0  0 1133240 4294788 159732 2495896    0    0     0     0 2095 4376  3  2 95  0  0  0
 0  0 1133240 4294032 159732 2495900    0    0     0     0 1673 3112  2  2 97  0  0  0
