CurrentTime;ElapsedTime;0_INVITE_Sent;0_INVITE_Retrans;0_INVITE_Timeout;1_100_Recv;1_100_Retrans;1_100_Timeout;1_100_Unexp;2_486_Recv;2_486_Retrans;2_486_Timeout;2_486_Unexp;3_ACK_Sent;3_ACK_Retrans;3_ACK_Timeout;4_Pause_Sessions;4_Pause_Unexp;
2026-08-09	06:56:26.517171	1786258586.517171;00:00:00:001000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-08-09	06:56:27.517916	1786258587.517916;00:00:01:002000;199;0;0;199;0;0;0;199;0;0;0;199;0;0;199;0;
2026-08-09	06:56:28.519237	1786258588.519237;00:00:02:003000;399;0;0;399;0;0;0;399;0;0;0;399;0;0;399;0;
2026-08-09	06:56:29.520486	1786258589.520486;00:00:03:005000;600;0;0;600;0;0;0;600;0;0;0;600;0;0;600;0;
2026-08-09	06:56:30.522234	1786258590.522234;00:00:04:006000;800;0;0;800;0;0;0;800;0;0;0;800;0;0;800;0;
2026-08-09	06:56:31.523911	1786258591.523911;00:00:05:008000;1000;0;0;1000;0;0;0;1000;0;0;0;1000;0;0;1000;0;
2026-08-09	06:56:32.525590	1786258592.525590;00:00:06:010000;1201;0;0;1201;0;0;0;1200;0;0;0;1200;0;0;1200;0;
2026-08-09	06:56:33.527442	1786258593.527442;00:00:07:011000;1401;0;0;1401;0;0;0;1401;0;0;0;1401;0;0;1401;0;
2026-08-09	06:56:34.528603	1786258594.528603;00:00:08:013000;1601;0;0;1601;0;0;0;1601;0;0;0;1601;0;0;1601;0;
2026-08-09	06:56:35.529500	1786258595.529500;00:00:09:014000;1802;0;0;1802;0;0;0;1801;0;0;0;1801;0;0;1801;0;
2026-08-09	06:56:36.530444	1786258596.530444;00:00:10:014000;2002;0;0;2002;0;0;0;2001;0;0;0;2001;0;0;2001;0;
2026-08-09	06:56:37.533092	1786258597.533092;00:00:11:017000;2202;0;0;2202;0;0;0;2202;0;0;0;2202;0;0;2202;0;
2026-08-09	06:56:38.534602	1786258598.534602;00:00:12:019000;2403;0;0;2403;0;0;0;2403;0;0;0;2403;0;0;2402;0;
2026-08-09	06:56:39.537167	1786258599.537167;00:00:13:021000;2603;0;0;2603;0;0;0;2603;0;0;0;2603;0;0;2603;0;
2026-08-09	06:56:40.539087	1786258600.539087;00:00:14:023000;2803;0;0;2803;0;0;0;2803;0;0;0;2803;0;0;2803;0;
2026-08-09	06:56:41.540992	1786258601.540992;00:00:15:025000;3000;0;0;3000;0;0;0;3000;0;0;0;3000;0;0;3000;0;
2026-08-09	06:56:41.776013	1786258601.776013;00:00:15:260000;3000;0;0;3000;0;0;0;3000;0;0;0;3000;0;0;3000;0;
2026-08-09	06:56:41.776205	1786258601.776205;00:00:15:260000;3000;0;0;3000;0;0;0;3000;0;0;0;3000;0;0;3000;0;
