procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 1129656 3857604 173348 2691792    1    0     1    69 3110 6165  2  2 96  0  0  0
 0  0 1129656 3881024 173476 2691992    0    0     0    73 3149 6228  2  2 96  0  0  0
 0  0 1129656 3881868 173600 2692148    1    0     1    64 3119 6171  2  2 96  0  0  0
 0  0 1117368 3874164 173776 2692264  213    0   213    67 3243 6440  3  2 95  0  0  0
 0  0 1117368 3865584 173944 2692408    1    0     1    58 3117 6153  2  2 96  0  0  0
 0  0 1117368 3858504 174052 2692552    0    0     0    65 3114 6148  2  2 96  0  0  0
 0  0 1117368 3853632 174196 2692744    1    0     1    66 3122 6180  2  2 96  0  0  0
 0  0 1117368 3863540 174316 2692892    1    0     1    64 3142 6207  3  2 96  0  0  0
 0  0 1117112 3853900 174436 2693012    1    0     1    73 3152 6236  2  2 96  0  0  0
 0  0 1117112 3855284 174580 2693276    0    0     2    60 3112 6146  2  2 96  0  0  0
 0  0 1117112 3849312 174712 2693424    0    0     0    65 3120 6170  2  2 96  0  0  0
 0  0 1116600 3865496 174856 2693660    8    0     9    66 3125 6168  2  2 96  0  0  0
 0  0 1116600 3856300 175000 2693808    0    0     0    66 3106 6141  2  2 96  0  0  0
 0  0 1116600 3875732 175172 2693960    1    0     1    67 3152 6233  2  2 96  0  0  0
 1  0 1116600 3858656 175280 2694120    0    0     0    67 3156 6246  2  2 96  0  0  0
 0  0 1116600 3862212 175420 2694276    1    0     1    63 3112 6144  2  2 96  0  0  0
 0  0 1116600 3866640 175572 2694472    0    0     0    70 3105 6130  2  2 96  0  0  0
 0  0 1116600 3858344 175712 2694612    0    0     0    73 3132 6177  2  2 96  0  0  0
 0  0 1116600 3854968 175868 2694752    1    0     1    82 3127 6174  3  2 95  0  0  0
 0  0 1116344 3853336 175984 2694888    1    0     1    67 3147 6196  2  2 96  0  0  0
 0  0 1116344 3862052 176128 2695032    1    0     1    62 3130 6191  2  2 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 1116344 3858400 176328 2695244    0    0     0    65 3110 6131  2  2 96  0  0  0
 0  0 1116344 3840496 176420 2695384    1    0     1    80 3142 6179  3  2 95  0  0  0
 0  0 1116344 3855816 176560 2695508    1    0     1    57 3138 6171  2  2 96  0  0  0
 0  0 1116344 3860164 176668 2695648    0    0     0    69 3135 6155  2  2 96  0  0  0
 0  0 1116344 3863368 176760 2695968    0    0     3    62 3132 6173  2  2 96  0  0  0
 0  0 1116344 3860584 176900 2696176    1    0     1    70 3123 6186  2  2 96  0  0  0
 0  0 1116344 3851136 177024 2696368    0    0     0    67 3111 6157  2  2 96  0  0  0
 0  0 1116344 3861728 177156 2696476    0    0     0    73 3122 6178  2  2 96  0  0  0
 0  0 1116344 3861000 177240 2696608    0    0     0    56 3111 6147  2  2 96  0  0  0
 0  0 1116344 3856124 177324 2696760    0    0     0    64 3162 6249  2  2 96  0  0  0
 0  0 1116344 3848264 177468 2697188    0    0     2    71 3101 6136  2  2 96  0  0  0
 0  0 1116088 3853756 177596 2697356    6    0     6   172 3166 6261  2  2 96  0  0  0
 0  0 1116088 3845520 177736 2697584    0    0     2    64 3115 6136  3  2 95  0  0  0
 0  0 1115832 3840604 177872 2697724    1    0     1    69 3160 6254  2  2 96  0  0  0
 0  0 1115832 3849028 178004 2697884    0    0     0    62 3155 6214  2  2 96  0  0  0
 0  0 1115832 3849668 178140 2698092    0    0     0    68 3133 6196  3  2 95  0  0  0
 0  0 1115576 3859080 178236 2698232    0    0     0    84 3119 6167  2  2 96  0  0  0
 0  0 1115576 3849216 178340 2698344    1    0     1    61 3147 6231  2  2 96  0  0  0
 0  0 1115576 3852728 178488 2698532    1    0     1    77 3129 6176  3  2 95  0  0  0
 0  0 1115576 3841012 178644 2698692    0    0     0    71 3130 6180  2  2 96  0  0  0
 0  0 1115576 3844324 178832 2698908    0    0     1    67 3151 6224  2  2 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 1115576 3852056 178956 2699064    1    0     1    63 3108 6162  2  2 96  0  0  0
 0  0 1113528 3848520 179048 2699196   63    0    63    72 3171 6260  3  2 95  0  0  0
 0  0 1113528 3850924 179160 2699488    1    0     2    90 3151 6222  2  2 96  0  0  0
 0  0 1113528 3852416 179300 2699644    1    0     1    86 3149 6217  3  2 95  0  0  0
 0  0 1113528 3835212 179408 2699852    0    0     0    68 3184 6290  3  2 96  0  0  0
 0  0 1113016 3859932 179520 2700004    7    0     7    84 3125 6169  2  2 96  0  0  0
 0  0 1113016 3846812 179652 2700128    1    0     1    78 3126 6180  3  2 96  0  0  0
 0  0 1113016 3841604 179720 2700276    0    0     0    69 3126 6163  2  2 96  0  0  0
 0  0 1113016 3838944 179788 2700540    0    0     0    77 3156 6229  3  2 95  0  0  0
 0  0 1112248 3839784 179920 2700752   17    0    17    82 3168 6244  2  2 96  0  0  0
 0  0 1112248 3828108 180044 2700892    0    0     0    73 3159 6234  3  2 95  0  0  0
 0  0 1112248 3830632 180168 2701016    1    0     1    78 3128 6163  3  2 95  0  0  0
 0  0 1112248 3828180 180276 2701172    1    0     1    67 3124 6170  3  2 96  0  0  0
 0  0 1112248 3831588 180384 2701328    1    0     1    68 3136 6177  3  2 95  0  0  0
 0  0 1112248 3840460 180480 2701512    1    0     1    88 3133 6191  3  2 96  0  0  0
 0  0 1111992 3855656 180608 2701664    1    0     1    78 3170 6259  2  2 96  0  0  0
