StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTimesip_route(P);ResponseTimesip_route(C);ResponseTimesip_routeStDev(P);ResponseTimesip_routeStDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartitionsip_route;ResponseTimeRepartitionsip_route_<10;ResponseTimeRepartitionsip_route_<20;ResponseTimeRepartitionsip_route_<30;ResponseTimeRepartitionsip_route_<40;ResponseTimeRepartitionsip_route_<50;ResponseTimeRepartitionsip_route_<100;ResponseTimeRepartitionsip_route_<150;ResponseTimeRepartitionsip_route_<500;ResponseTimeRepartitionsip_route_<1000;ResponseTimeRepartitionsip_route_>=1000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<150;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_>=1000;
2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:44.549764	1786258544.549764;00:00:00;00:00:00;100.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;
2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:44.549940	1786258544.549940;2026-08-09	06:55:45.551699	1786258545.551699;00:00:01;00:00:01;100.000;98.901;98.802;0;0;99;99;99;25;74;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;99;0;0;0;0;0;0;0;0;0;;0;0;0;0;74;0;0;
2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:45.551762	1786258545.551762;2026-08-09	06:55:46.553865	1786258546.553865;00:00:01;00:00:02;100.000;100.798;99.751;0;0;101;200;200;26;100;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;200;0;0;0;0;0;0;0;0;0;;0;0;0;0;174;0;0;
2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:46.553934	1786258546.553934;2026-08-09	06:55:47.554865	1786258547.554865;00:00:01;00:00:03;100.000;100.000;99.800;0;0;100;300;300;26;100;274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;300;0;0;0;0;0;0;0;0;0;;0;0;0;0;274;0;0;
2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:47.554924	1786258547.554924;2026-08-09	06:55:48.556186	1786258548.556186;00:00:01;00:00:04;100.000;99.900;99.825;0;0;100;400;400;26;100;374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;400;0;0;0;0;0;0;0;0;0;;0;0;0;0;374;0;0;
2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:48.556254	1786258548.556254;2026-08-09	06:55:49.557558	1786258549.557558;00:00:01;00:00:05;100.000;99.900;99.840;0;0;100;500;500;25;101;475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;500;0;0;0;0;0;0;0;0;0;;0;0;0;0;475;0;0;
2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:49.557620	1786258549.557620;2026-08-09	06:55:50.559822	1786258550.559822;00:00:01;00:00:06;100.000;99.800;99.817;0;0;100;600;600;25;100;575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;600;0;0;0;0;0;0;0;0;0;;0;0;0;0;575;0;0;
2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:50.559883	1786258550.559883;2026-08-09	06:55:51.562131	1786258551.562131;00:00:01;00:00:07;100.000;99.800;99.815;0;0;100;700;700;25;100;675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;700;0;0;0;0;0;0;0;0;0;;0;0;0;0;675;0;0;
2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:51.562197	1786258551.562197;2026-08-09	06:55:52.563741	1786258552.563741;00:00:01;00:00:08;100.000;100.899;99.938;0;0;101;801;801;26;100;775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;801;0;0;0;0;0;0;0;0;0;;0;0;0;0;775;0;0;
2026-08-09	06:55:44.548721	1786258544.548721;2026-08-09	06:55:52.563812	1786258552.563812;2026-08-09	06:55:53.564967	1786258553.564967;00:00:01;00:00:09;100.000;99.900;99.933;0;0;100;901;901;26;100;875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;901;0;0;0;0;0;0;0;0;0;;0;0;0;0;875;0;0;
