Date_ms;response_time_ms;rtd_no
2783.01;0;sip_route
2793.01;1;sip_route
2803.01;1;sip_route
2813.01;0;sip_route
2825.01;3;sip_route
2834.01;1;sip_route
2844.01;1;sip_route
2854.01;0;sip_route
2864.01;1;sip_route
2874.01;1;sip_route
2883.01;1;sip_route
2892.01;1;sip_route
2903.01;1;sip_route
2913.01;1;sip_route
2924.01;1;sip_route
2933.01;1.001;sip_route
2943.01;0;sip_route
2954.01;1;sip_route
2963.01;0;sip_route
2972.01;0;sip_route
2984.01;1;sip_route
2994.01;1;sip_route
3003.01;1;sip_route
3014.01;1;sip_route
3022.01;1;sip_route
3034.01;0;sip_route
3044.01;1;sip_route
3054.01;1;sip_route
3064.01;0;sip_route
3073.01;1;sip_route
3083.01;1;sip_route
3093.01;0;sip_route
3103.01;0;sip_route
3114.01;1;sip_route
3124.01;1;sip_route
3134.01;1;sip_route
3143.01;1;sip_route
3152.01;0;sip_route
3164.01;1;sip_route
3174.01;0;sip_route
3184.01;1;sip_route
3194.01;1;sip_route
3204.01;0;sip_route
3214.01;1;sip_route
3225.01;1;sip_route
3235.01;1;sip_route
3245.01;2;sip_route
3254.01;1;sip_route
3264.01;1;sip_route
3273.01;0;sip_route
3283.01;1;sip_route
3293.01;0;sip_route
3302.01;1;sip_route
3313.01;1;sip_route
3323.01;0;sip_route
3333.01;0;sip_route
3344.01;1;sip_route
3354.01;0;sip_route
3364.01;1;sip_route
3374.01;1;sip_route
3384.01;1;sip_route
3394.01;0;sip_route
3404.01;1;sip_route
3414.01;1;sip_route
3422.01;0;sip_route
3434.01;1;sip_route
3443.01;0;sip_route
3453.01;1;sip_route
3463.01;1;sip_route
3473.01;1;sip_route
3483.01;1;sip_route
3492.01;0;sip_route
3504.01;1;sip_route
3514.01;1;sip_route
3524.01;1;sip_route
3534.01;0;sip_route
3544.01;1;sip_route
3552.01;0;sip_route
3565.01;2;sip_route
3575.01;1;sip_route
3584.01;2;sip_route
3595.01;2;sip_route
3604.01;2;sip_route
3614.01;1;sip_route
3624.01;1;sip_route
3634.01;1;sip_route
3644.01;1;sip_route
3653.01;1;sip_route
3663.01;1;sip_route
3673.01;0;sip_route
3683.01;1;sip_route
3693.01;0;sip_route
3703.01;1;sip_route
3713.01;0;sip_route
3723.01;1;sip_route
3734.01;1;sip_route
3743.01;1;sip_route
3754.01;1;sip_route
3764.01;1;sip_route
3774.01;1;sip_route
3784.01;1;sip_route
3794.01;1;sip_route
3803.01;1;sip_route
3813.01;1;sip_route
3824.01;1;sip_route
3834.01;1;sip_route
3843.01;0;sip_route
3853.01;1;sip_route
3864.01;1;sip_route
3873.01;0;sip_route
3883.01;0;sip_route
3894.01;1;sip_route
3904.01;1;sip_route
3914.01;1;sip_route
3922.01;0;sip_route
3933.01;1;sip_route
3942.01;0;sip_route
3954.01;0;sip_route
3962.01;0;sip_route
3974.01;0;sip_route
3983.01;1;sip_route
3993.01;0;sip_route
4003.01;0;sip_route
4014.01;1;sip_route
4024.01;1;sip_route
4034.01;1;sip_route
4044.01;1;sip_route
4054.01;1;sip_route
4063.01;0;sip_route
4073.01;1;sip_route
4083.01;0;sip_route
4093.01;1;sip_route
4103.01;0;sip_route
4113.01;0;sip_route
4123.01;1;sip_route
4133.01;1;sip_route
4143.01;0;sip_route
4153.01;1;sip_route
4164.01;1;sip_route
4174.01;0;sip_route
4185.01;1;sip_route
4193.01;1;sip_route
4204.01;1;sip_route
4214.01;0;sip_route
4223.01;1;sip_route
4234.01;1;sip_route
4243.01;0;sip_route
4253.01;1;sip_route
4264.01;1;sip_route
4274.01;0;sip_route
4284.01;1;sip_route
4294.01;1;sip_route
4304.01;1;sip_route
4313.01;1;sip_route
4323.01;1;sip_route
4334.01;1;sip_route
4343.01;0;sip_route
4352.01;0;sip_route
4363.01;1;sip_route
4374.01;1;sip_route
4383.01;0;sip_route
4393.01;0;sip_route
4404.01;1;sip_route
4413.01;0;sip_route
4423.01;1;sip_route
4434.01;1;sip_route
4444.01;1;sip_route
4453.01;1;sip_route
4462.01;0;sip_route
4473.01;1;sip_route
4484.01;1;sip_route
4494.01;1;sip_route
