timestamp,name,cpu_percent,mem_usage,mem_percent,pids
2026-08-09T06:55:44.557864063Z,converact-g03-53-rustpbx-b63383b,9.04%,21.82MiB / 7.506GiB,0.28%,9
2026-08-09T06:55:44.557864063Z,converact-g03-53-router-b63383b,5.53%,41.12MiB / 7.506GiB,0.53%,17
2026-08-09T06:55:44.557864063Z,converact-g03-53-pg-b63383b,0.02%,80.36MiB / 7.506GiB,1.05%,9
2026-08-09T06:55:44.557864063Z,converact-g03-53-capacity-q100-b63383b,5.46%,888KiB / 7.506GiB,0.01%,1
2026-08-09T06:55:48.134558306Z,converact-g03-53-rustpbx-b63383b,9.18%,31.41MiB / 7.506GiB,0.41%,9
2026-08-09T06:55:48.134558306Z,converact-g03-53-router-b63383b,4.92%,41.32MiB / 7.506GiB,0.54%,17
2026-08-09T06:55:48.134558306Z,converact-g03-53-pg-b63383b,0.01%,80.36MiB / 7.506GiB,1.05%,9
2026-08-09T06:55:48.134558306Z,converact-g03-53-capacity-q100-b63383b,5.36%,1.027MiB / 7.506GiB,0.01%,1
2026-08-09T06:55:51.698410243Z,converact-g03-53-rustpbx-b63383b,9.20%,31.99MiB / 7.506GiB,0.42%,9
2026-08-09T06:55:51.698410243Z,converact-g03-53-router-b63383b,5.13%,41.34MiB / 7.506GiB,0.54%,17
2026-08-09T06:55:51.698410243Z,converact-g03-53-pg-b63383b,0.00%,80.36MiB / 7.506GiB,1.05%,9
2026-08-09T06:55:51.698410243Z,converact-g03-53-capacity-q100-b63383b,5.48%,1.18MiB / 7.506GiB,0.02%,1
2026-08-09T06:55:55.266199609Z,converact-g03-53-rustpbx-b63383b,9.05%,32.16MiB / 7.506GiB,0.42%,9
2026-08-09T06:55:55.266199609Z,converact-g03-53-router-b63383b,4.80%,42.05MiB / 7.506GiB,0.55%,17
2026-08-09T06:55:55.266199609Z,converact-g03-53-pg-b63383b,0.00%,80.36MiB / 7.506GiB,1.05%,9
2026-08-09T06:55:55.266199609Z,converact-g03-53-capacity-q100-b63383b,5.51%,1.336MiB / 7.506GiB,0.02%,1
2026-08-09T06:55:58.831842694Z,converact-g03-53-rustpbx-b63383b,0.83%,32.52MiB / 7.506GiB,0.42%,9
2026-08-09T06:55:58.831842694Z,converact-g03-53-router-b63383b,3.38%,42.29MiB / 7.506GiB,0.55%,17
2026-08-09T06:55:58.831842694Z,converact-g03-53-pg-b63383b,0.00%,80.36MiB / 7.506GiB,1.05%,9
2026-08-09T06:55:58.831842694Z,converact-g03-53-capacity-q100-b63383b,0.00%,0B / 0B,0.00%,0
