procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 1133496 4326808 159300 2484624    0    0     7    89 1027    9  2  1 97  0  0  0
 0  0 1133496 4325376 159328 2485128    0    0     4   612 5730 11701 19 14 67  1  0  0
 0  0 1133496 4324900 159328 2485344    0    0     0     0 3981 6537  8  5 87  0  0  0
 0  0 1133496 4327928 159328 2485568    0    0     0     0 4455 7860 11  6 83  0  0  0
 1  0 1133496 4325440 159356 2485792    0    0     0   424 4335 7260  9  5 86  0  0  0
 2  0 1133496 4319136 159356 2486028    0    0     0     0 4741 8630 11  5 85  0  0  0
 1  0 1133496 4319136 159356 2486256    0    0     0  1120 3919 6495  8  3 89  0  0  0
 0  0 1133496 4317624 159356 2486468    0    0     0     8 4351 7549 10  5 85  0  0  0
 0  0 1133496 4313784 159356 2486532    0    0     0    28 3997 6532 10  4 86  0  0  0
 1  0 1133496 4311072 159364 2486924    0    0     0   112 4196 7188 10  4 86  0  0  0
 0  0 1133496 4311072 159364 2487072    0    0     0     0 4352 7410 11  5 85  0  0  0
 0  0 1133496 4311072 159364 2487380    0    0     0     0 4615 7873 10  6 84  0  0  0
 0  0 1133496 4311072 159364 2487560    0    0     0     8 4513 8063 11  6 83  0  0  0
 0  0 1133496 4311072 159364 2487772    0    0     0     0 4035 6643  8  4 89  0  0  0
 0  0 1133496 4311072 159392 2488080    0    0     0   400 4732 8402 10  6 84  1  0  0
 0  0 1133496 4303260 159392 2488316    0    0     0     0 4359 7251  8  5 87  0  0  0
 0  0 1133496 4318660 159416 2488284    8    0     8  3736 3777 7586  9  7 84  0  0  0
 0  0 1133496 4318660 159416 2488400    8    0     8     0 1422 2631  1  1 98  0  0  0
 1  0 1133496 4318660 159416 2488308    0    0     0    28 1771 3566  4  4 93  0  0  0
