StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTimesip_route(P);ResponseTimesip_route(C);ResponseTimesip_routeStDev(P);ResponseTimesip_routeStDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartitionsip_route;ResponseTimeRepartitionsip_route_<10;ResponseTimeRepartitionsip_route_<20;ResponseTimeRepartitionsip_route_<30;ResponseTimeRepartitionsip_route_<40;ResponseTimeRepartitionsip_route_<50;ResponseTimeRepartitionsip_route_<100;ResponseTimeRepartitionsip_route_<150;ResponseTimeRepartitionsip_route_<500;ResponseTimeRepartitionsip_route_<1000;ResponseTimeRepartitionsip_route_>=1000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<150;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_>=1000;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:06.989500	1786258506.989500;00:00:00;00:00:00;50.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:06.990226	1786258506.990226;2026-08-09	06:55:07.990328	1786258507.990328;00:00:01;00:00:01;50.000;50.000;49.900;0;0;50;50;50;13;37;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:001000;00:00:00:001000;;49;0;0;0;0;0;0;0;0;0;;0;0;0;0;37;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:07.990397	1786258507.990397;2026-08-09	06:55:08.992615	1786258508.992615;00:00:01;00:00:02;50.000;49.900;49.900;0;0;50;100;100;13;50;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:001000;;100;0;0;0;0;0;0;0;0;0;;0;0;0;0;87;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:08.992685	1786258508.992685;2026-08-09	06:55:09.993946	1786258509.993946;00:00:01;00:00:03;50.000;49.950;49.917;0;0;50;150;150;13;50;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;150;0;0;0;0;0;0;0;0;0;;0;0;0;0;137;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:09.994007	1786258509.994007;2026-08-09	06:55:10.996063	1786258510.996063;00:00:01;00:00:04;50.000;49.900;49.913;0;0;50;200;200;13;50;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;200;0;0;0;0;0;0;0;0;0;;0;0;0;0;187;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:10.996143	1786258510.996143;2026-08-09	06:55:11.997869	1786258511.997869;00:00:01;00:00:05;50.000;49.950;49.910;0;0;50;250;250;13;50;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;250;0;0;0;0;0;0;0;0;0;;0;0;0;0;237;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:11.997960	1786258511.997960;2026-08-09	06:55:12.998436	1786258512.998436;00:00:01;00:00:06;50.000;50.000;49.917;0;0;50;300;300;13;50;287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:255000;00:00:00:254000;00:00:00:001000;00:00:00:000000;;300;0;0;0;0;0;0;0;0;0;;0;0;0;0;287;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:12.998509	1786258512.998509;2026-08-09	06:55:14.000859	1786258514.000859;00:00:01;00:00:07;50.000;49.900;49.914;0;0;50;350;350;13;50;337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;350;0;0;0;0;0;0;0;0;0;;0;0;0;0;337;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:14.000941	1786258514.000941;2026-08-09	06:55:15.002461	1786258515.002461;00:00:01;00:00:08;50.000;49.950;49.913;0;0;50;400;400;13;50;387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;400;0;0;0;0;0;0;0;0;0;;0;0;0;0;387;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:15.002532	1786258515.002532;2026-08-09	06:55:16.004459	1786258516.004459;00:00:01;00:00:09;50.000;49.950;49.911;0;0;50;450;450;13;50;437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;450;0;0;0;0;0;0;0;0;0;;0;0;0;0;437;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:16.004532	1786258516.004532;2026-08-09	06:55:17.005753	1786258517.005753;00:00:01;00:00:10;50.000;49.950;49.915;0;0;50;500;500;12;51;488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;500;0;0;0;0;0;0;0;0;0;;0;0;0;0;488;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:17.005821	1786258517.005821;2026-08-09	06:55:18.007605	1786258518.007605;00:00:01;00:00:11;50.000;49.950;49.914;0;0;50;550;550;12;50;538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;550;0;0;0;0;0;0;0;0;0;;0;0;0;0;538;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:18.007678	1786258518.007678;2026-08-09	06:55:19.008452	1786258519.008452;00:00:01;00:00:12;50.000;50.000;49.917;0;0;50;600;600;12;50;588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;600;0;0;0;0;0;0;0;0;0;;0;0;0;0;588;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:19.008538	1786258519.008538;2026-08-09	06:55:20.010740	1786258520.010740;00:00:01;00:00:13;50.000;49.900;49.916;0;0;50;650;650;12;50;638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;650;0;0;0;0;0;0;0;0;0;;0;0;0;0;638;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:20.010817	1786258520.010817;2026-08-09	06:55:21.011609	1786258521.011609;00:00:01;00:00:14;50.000;51.000;49.989;0;0;51;701;701;13;50;688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;701;0;0;0;0;0;0;0;0;0;;0;0;0;0;688;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:21.011679	1786258521.011679;2026-08-09	06:55:22.013275	1786258522.013275;00:00:01;00:00:15;50.000;48.951;49.917;0;0;49;750;750;12;50;738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;750;0;0;0;0;0;0;0;0;0;;0;0;0;0;738;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:22.013368	1786258522.013368;2026-08-09	06:55:22.246530	1786258522.246530;00:00:00;00:00:15;50.000;0.000;49.155;0;0;0;750;750;0;12;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;750;0;0;0;0;0;0;0;0;0;;0;0;0;0;750;0;0;
2026-08-09	06:55:06.988076	1786258506.988076;2026-08-09	06:55:22.246604	1786258522.246604;2026-08-09	06:55:22.246718	1786258522.246718;00:00:00;00:00:15;50.000;0.000;49.155;0;0;0;750;750;0;0;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:254000;00:00:00:000000;00:00:00:000000;;750;0;0;0;0;0;0;0;0;0;;0;0;0;0;750;0;0;
