CurrentTime;ElapsedTime;0_INVITE_Sent;0_INVITE_Retrans;0_INVITE_Timeout;1_100_Recv;1_100_Retrans;1_100_Timeout;1_100_Unexp;2_486_Recv;2_486_Retrans;2_486_Timeout;2_486_Unexp;3_ACK_Sent;3_ACK_Retrans;3_ACK_Timeout;4_Pause_Sessions;4_Pause_Unexp;
2026-08-09	06:55:06.990213	1786258506.990213;00:00:00:002000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-08-09	06:55:07.990384	1786258507.990384;00:00:01:002000;49;0;0;49;0;0;0;49;0;0;0;49;0;0;49;0;
2026-08-09	06:55:08.992668	1786258508.992668;00:00:02:004000;100;0;0;100;0;0;0;100;0;0;0;100;0;0;99;0;
2026-08-09	06:55:09.993995	1786258509.993995;00:00:03:005000;150;0;0;150;0;0;0;150;0;0;0;150;0;0;150;0;
2026-08-09	06:55:10.996125	1786258510.996125;00:00:04:008000;200;0;0;200;0;0;0;200;0;0;0;200;0;0;200;0;
2026-08-09	06:55:11.997941	1786258511.997941;00:00:05:009000;250;0;0;250;0;0;0;250;0;0;0;250;0;0;250;0;
2026-08-09	06:55:12.998495	1786258512.998495;00:00:06:010000;300;0;0;300;0;0;0;300;0;0;0;300;0;0;300;0;
2026-08-09	06:55:14.000924	1786258514.000924;00:00:07:012000;350;0;0;350;0;0;0;350;0;0;0;350;0;0;350;0;
2026-08-09	06:55:15.002518	1786258515.002518;00:00:08:014000;400;0;0;400;0;0;0;400;0;0;0;400;0;0;400;0;
2026-08-09	06:55:16.004518	1786258516.004518;00:00:09:016000;450;0;0;450;0;0;0;450;0;0;0;450;0;0;450;0;
2026-08-09	06:55:17.005808	1786258517.005808;00:00:10:017000;500;0;0;500;0;0;0;500;0;0;0;500;0;0;500;0;
2026-08-09	06:55:18.007664	1786258518.007664;00:00:11:019000;550;0;0;550;0;0;0;550;0;0;0;550;0;0;550;0;
2026-08-09	06:55:19.008525	1786258519.008525;00:00:12:020000;600;0;0;600;0;0;0;600;0;0;0;600;0;0;600;0;
2026-08-09	06:55:20.010802	1786258520.010802;00:00:13:022000;650;0;0;650;0;0;0;650;0;0;0;650;0;0;650;0;
2026-08-09	06:55:21.011662	1786258521.011662;00:00:14:023000;701;0;0;701;0;0;0;701;0;0;0;701;0;0;700;0;
2026-08-09	06:55:22.013353	1786258522.013353;00:00:15:025000;750;0;0;750;0;0;0;750;0;0;0;750;0;0;750;0;
2026-08-09	06:55:22.246590	1786258522.246590;00:00:15:258000;750;0;0;750;0;0;0;750;0;0;0;750;0;0;750;0;
2026-08-09	06:55:22.246760	1786258522.246760;00:00:15:258000;750;0;0;750;0;0;0;750;0;0;0;750;0;0;750;0;
