Date_ms;response_time_ms;rtd_no
28.001;5;sip_route
45.001;2;sip_route
64.001;1;sip_route
84.002;2;sip_route
104.002;0;sip_route
123.002;1;sip_route
144.002;1;sip_route
163.002;0;sip_route
184.002;1;sip_route
204.002;1;sip_route
222.003;0;sip_route
244.003;1;sip_route
263.003;1;sip_route
283.003;2;sip_route
304.003;0;sip_route
324.003;1;sip_route
344.003;1;sip_route
362.003;0;sip_route
387.004;4;sip_route
403.004;1;sip_route
423.004;1;sip_route
443.004;1;sip_route
463.004;1;sip_route
482.004;0;sip_route
504.004;1;sip_route
524.005;1;sip_route
543.005;1;sip_route
564.005;1;sip_route
583.005;0;sip_route
603.005;1;sip_route
623.005;1;sip_route
642.005;0;sip_route
663.006;1;sip_route
683.006;1;sip_route
702.006;0;sip_route
724.006;1;sip_route
745.006;1;sip_route
765.006;2;sip_route
785.006;2;sip_route
804.006;1;sip_route
823.007;1;sip_route
843.007;0;sip_route
863.007;1;sip_route
883.007;1;sip_route
905.007;1;sip_route
923.007;1;sip_route
943.007;1;sip_route
965.008;1;sip_route
983.008;1;sip_route
1003.01;1;sip_route
1024.01;1;sip_route
1043.01;1;sip_route
1063.01;1;sip_route
1085.01;1;sip_route
1105.01;2;sip_route
1123.01;1;sip_route
1145.01;3;sip_route
1164.01;2;sip_route
1184.01;2;sip_route
1203.01;0;sip_route
1223.01;1;sip_route
1244.01;2;sip_route
1264.01;0;sip_route
1284.01;0;sip_route
1304.01;1;sip_route
1324.01;0;sip_route
1343.01;1;sip_route
1363.01;1;sip_route
1384.01;2;sip_route
1404.01;2;sip_route
1423.01;1;sip_route
1444.01;1;sip_route
1463.01;0;sip_route
1483.01;1;sip_route
1504.01;2;sip_route
1524.01;0;sip_route
1543.01;1;sip_route
1563.01;0;sip_route
1584.01;1;sip_route
1604.01;1;sip_route
1623.01;1;sip_route
1644.01;1;sip_route
1663.01;0;sip_route
1684.01;1;sip_route
1704.01;1.001;sip_route
1724.01;0;sip_route
1743.01;1;sip_route
1764.01;0;sip_route
1783.01;2;sip_route
1805.01;1;sip_route
1825.01;2;sip_route
1844.01;2;sip_route
1863.01;1;sip_route
1884.01;1;sip_route
1902.01;0;sip_route
1923.01;1;sip_route
1943.01;0;sip_route
1963.01;1;sip_route
1983.01;1;sip_route
2004.02;1;sip_route
2024.02;1;sip_route
2044.02;1;sip_route
2063.01;1;sip_route
2085.01;1;sip_route
2103.01;0;sip_route
2125.01;1;sip_route
2143.01;0;sip_route
2165.02;1;sip_route
2184.02;1;sip_route
2203.02;1;sip_route
2225.02;1;sip_route
2245.02;1;sip_route
2264.02;0;sip_route
2283.02;1;sip_route
2302.02;1;sip_route
2324.02;1;sip_route
2343.02;1;sip_route
2365.02;1;sip_route
2384.02;1;sip_route
2403.02;2;sip_route
2424.02;0;sip_route
2443.02;1;sip_route
2464.02;1;sip_route
2483.02;1;sip_route
2504.02;2;sip_route
2524.02;1;sip_route
2544.02;1;sip_route
2564.02;2;sip_route
2583.02;1;sip_route
2603.02;1;sip_route
2623.02;2;sip_route
2643.02;1;sip_route
2663.02;2;sip_route
2683.02;1;sip_route
2702.02;0;sip_route
2724.02;1;sip_route
2744.02;0;sip_route
2764.02;1;sip_route
2784.02;1;sip_route
2804.02;0;sip_route
2824.02;1;sip_route
2843.02;2;sip_route
2864.02;0;sip_route
2883.02;1;sip_route
2904.02;0;sip_route
2923.02;1;sip_route
2944.02;2;sip_route
2963.02;1;sip_route
2984.02;1;sip_route
3003.02;1;sip_route
3024.02;1;sip_route
3043.02;1;sip_route
3063.02;2;sip_route
3083.02;1;sip_route
3104.02;1;sip_route
3123.02;1;sip_route
3143.02;1;sip_route
3164.02;0;sip_route
3184.02;1;sip_route
3205.02;2;sip_route
3225.02;2;sip_route
3244.02;1;sip_route
3264.02;1;sip_route
3283.02;0;sip_route
3304.02;2;sip_route
3323.02;1;sip_route
3344.02;2;sip_route
3366.02;3;sip_route
3384.02;2;sip_route
3403.02;1;sip_route
3424.02;2;sip_route
3444.02;1;sip_route
3465.02;2;sip_route
3484.02;1;sip_route
3503.03;0;sip_route
3524.03;1;sip_route
3543.03;0;sip_route
3563.03;1;sip_route
3585.03;3;sip_route
3605.03;2;sip_route
3625.03;1;sip_route
3643.03;0;sip_route
3664.03;1;sip_route
3684.03;1;sip_route
3704.03;0;sip_route
3724.03;1;sip_route
3743.03;1;sip_route
3764.03;0;sip_route
3782.03;0;sip_route
3803.03;0;sip_route
3823.03;1;sip_route
3844.03;1;sip_route
3863.03;1;sip_route
3884.03;1;sip_route
3902.03;0;sip_route
3924.03;1;sip_route
3944.03;1;sip_route
3963.03;0;sip_route
3984.03;1;sip_route
4005.03;1;sip_route
4024.03;1;sip_route
4043.03;1;sip_route
4063.03;1;sip_route
4083.03;1;sip_route
4103.03;1;sip_route
4123.03;1;sip_route
4145.03;1;sip_route
4164.03;1;sip_route
4184.03;1;sip_route
4203.03;0;sip_route
4224.03;2;sip_route
4244.03;1;sip_route
4262.03;0;sip_route
4283.03;1;sip_route
4303.03;0;sip_route
4323.03;1;sip_route
4344.03;0;sip_route
4363.03;1;sip_route
4384.03;1;sip_route
4403.03;1;sip_route
4423.03;1;sip_route
4444.03;1;sip_route
4464.03;1;sip_route
4483.03;1;sip_route
4503.03;1;sip_route
4525.03;1;sip_route
4543.03;0;sip_route
4563.03;2;sip_route
4584.03;1;sip_route
4603.03;2;sip_route
4623.03;1;sip_route
4643.03;2;sip_route
4663.03;1;sip_route
4684.03;1;sip_route
4703.03;0;sip_route
4723.03;1;sip_route
4745.03;1;sip_route
4764.03;1;sip_route
4782.03;1;sip_route
4803.03;1;sip_route
4824.03;2;sip_route
4843.03;1;sip_route
4864.03;1;sip_route
4883.03;1;sip_route
4902.03;0;sip_route
4924.03;1;sip_route
4944.03;1;sip_route
4964.03;1;sip_route
4983.03;1;sip_route
5003.03;1;sip_route
5023.03;1;sip_route
5043.03;1;sip_route
5063.03;0;sip_route
5083.03;1;sip_route
5104.03;0;sip_route
5124.03;1;sip_route
5143.04;1;sip_route
5164.04;1;sip_route
5183.04;1;sip_route
5205.04;1;sip_route
5223.04;1;sip_route
5247.04;4;sip_route
5264.04;2;sip_route
5286.04;3;sip_route
5304.04;1;sip_route
5325.04;1;sip_route
5344.04;0;sip_route
5365.04;1;sip_route
5384.04;1;sip_route
5404.04;1;sip_route
5424.04;1;sip_route
5443.04;1;sip_route
5463.04;0;sip_route
5483.04;1;sip_route
5505.04;1;sip_route
5524.04;1;sip_route
5543.04;0;sip_route
5564.04;1;sip_route
5582.04;0;sip_route
5603.04;1;sip_route
5624.04;2;sip_route
5643.04;1;sip_route
5665.04;1;sip_route
5684.04;0;sip_route
5703.04;1;sip_route
5723.04;1;sip_route
5743.04;1;sip_route
5764.04;1;sip_route
5783.04;1;sip_route
5804.04;1;sip_route
5824.04;1;sip_route
5843.04;0;sip_route
5863.04;1;sip_route
5883.04;1;sip_route
5903.04;0;sip_route
5923.04;1;sip_route
5944.04;2;sip_route
5963.04;1;sip_route
5984.04;1;sip_route
6003.04;1;sip_route
6025.04;1;sip_route
6044.04;1;sip_route
6063.04;1;sip_route
6083.04;1;sip_route
6104.04;1;sip_route
6125.04;1;sip_route
6143.04;1;sip_route
6163.04;0;sip_route
6184.04;1;sip_route
6204.04;0;sip_route
6223.04;1;sip_route
6244.04;0;sip_route
