CurrentTime;ElapsedTime;0_INVITE_Sent;0_INVITE_Retrans;0_INVITE_Timeout;1_100_Recv;1_100_Retrans;1_100_Timeout;1_100_Unexp;2_486_Recv;2_486_Retrans;2_486_Timeout;2_486_Unexp;3_ACK_Sent;3_ACK_Retrans;3_ACK_Timeout;4_Pause_Sessions;4_Pause_Unexp;
2026-08-02	18:37:55.409187	1785695875.409187;00:00:00:001000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-08-02	18:38:00.441042	1785695880.441042;00:00:05:033000;100;0;0;100;0;0;0;100;0;0;0;100;0;0;100;0;
2026-08-02	18:38:00.441206	1785695880.441206;00:00:05:033000;100;0;0;100;0;0;0;100;0;0;0;100;0;0;100;0;
