CurrentTime;ElapsedTime;0_INVITE_Sent;0_INVITE_Retrans;0_INVITE_Timeout;1_100_Recv;1_100_Retrans;1_100_Timeout;1_100_Unexp;2_486_Recv;2_486_Retrans;2_486_Timeout;2_486_Unexp;3_ACK_Sent;3_ACK_Retrans;3_ACK_Timeout;4_Pause_Sessions;4_Pause_Unexp;
2026-08-09	06:57:46.590241	1786258666.590241;00:00:00:002000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-08-09	06:57:47.590583	1786258667.590583;00:00:01:002000;998;0;0;998;0;0;0;997;0;0;0;997;0;0;996;0;
2026-08-09	06:57:48.592989	1786258668.592989;00:00:02:004000;1997;0;0;1990;0;0;0;1985;0;0;0;1985;0;0;1985;0;
2026-08-09	06:57:49.593529	1786258669.593529;00:00:03:005000;2997;0;0;2997;0;0;0;2995;0;0;0;2995;0;0;2995;0;
2026-08-09	06:57:50.595474	1786258670.595474;00:00:04:007000;3999;0;0;3999;0;0;0;3999;0;0;0;3999;0;0;3998;0;
2026-08-09	06:57:51.596788	1786258671.596788;00:00:05:008000;5000;0;0;5000;0;0;0;5000;0;0;0;5000;0;0;4999;0;
2026-08-09	06:57:52.597526	1786258672.597526;00:00:06:009000;5997;0;0;5997;0;0;0;5996;0;0;0;5996;0;0;5995;0;
2026-08-09	06:57:53.599598	1786258673.599598;00:00:07:011000;6997;0;0;6996;0;0;0;6995;0;0;0;6995;0;0;6995;0;
2026-08-09	06:57:54.601578	1786258674.601578;00:00:08:013000;7998;0;0;7998;0;0;0;7997;0;0;0;7997;0;0;7996;0;
2026-08-09	06:57:55.604334	1786258675.604334;00:00:09:016000;8997;0;0;8997;0;0;0;8997;0;0;0;8997;0;0;8997;0;
2026-08-09	06:57:56.604608	1786258676.604608;00:00:10:016000;9994;0;0;9994;0;0;0;9993;0;0;0;9993;0;0;9992;0;
2026-08-09	06:57:57.605683	1786258677.605683;00:00:11:017000;10994;0;0;10994;0;0;0;10992;0;0;0;10992;0;0;10992;0;
2026-08-09	06:57:58.607520	1786258678.607520;00:00:12:019000;11993;0;0;11993;0;0;0;11993;0;0;0;11993;0;0;11992;0;
2026-08-09	06:57:59.609368	1786258679.609368;00:00:13:021000;12994;0;0;12994;0;0;0;12994;0;0;0;12994;0;0;12994;0;
2026-08-09	06:58:00.610577	1786258680.610577;00:00:14:022000;13993;0;0;13993;0;0;0;13992;0;0;0;13992;0;0;13991;0;
2026-08-09	06:58:01.611896	1786258681.611896;00:00:15:023000;14994;0;0;14994;0;0;0;14993;0;0;0;14993;0;0;14992;0;
2026-08-09	06:58:02.613509	1786258682.613509;00:00:16:025000;15996;0;0;15996;0;0;0;15993;0;0;0;15993;0;0;15993;0;
2026-08-09	06:58:03.614943	1786258683.614943;00:00:17:026000;16997;0;0;16997;0;0;0;16997;0;0;0;16997;0;0;16996;0;
