Date_ms;response_time_ms;rtd_no
7.001;4;sip_route
8.001;5;sip_route
8.001;1;sip_route
16.001;8;sip_route
16.001;9;sip_route
16.001;8;sip_route
16.001;8;sip_route
20.001;12;sip_route
21.001;6;sip_route
24.001;9;sip_route
24.001;9;sip_route
24.001;9;sip_route
29.001;14;sip_route
37.002;22.001;sip_route
41.002;26.001;sip_route
43.002;23.001;sip_route
44.002;20.001;sip_route
45.002;25.001;sip_route
46.002;18.001;sip_route
46.002;22.001;sip_route
50.002;26.001;sip_route
51.002;31.001;sip_route
53.002;29.001;sip_route
56.002;26.001;sip_route
56.002;19;sip_route
56.002;35.001;sip_route
62.002;25;sip_route
63.002;26;sip_route
65.002;28;sip_route
65.002;28;sip_route
65.002;28;sip_route
67.002;30;sip_route
72.002;44.001;sip_route
73.002;32;sip_route
76.002;28;sip_route
76.002;48.001;sip_route
82.002;54.001;sip_route
83.002;30;sip_route
83.002;35;sip_route
84.002;31;sip_route
86.002;33;sip_route
88.002;32;sip_route
88.002;32;sip_route
88.002;29;sip_route
89.002;30;sip_route
89.002;30;sip_route
90.002;19;sip_route
93.002;26;sip_route
93.002;26;sip_route
97.002;67.001;sip_route
98.002;22;sip_route
99.002;23;sip_route
102.002;26;sip_route
102.002;22;sip_route
102.002;22;sip_route
103.002;23;sip_route
103.002;23;sip_route
103.002;82.001;sip_route
105.002;15;sip_route
107.002;24;sip_route
107.002;24;sip_route
108.002;18;sip_route
108.002;24;sip_route
110.002;26;sip_route
110.002;24;sip_route
111.002;25;sip_route
111.002;18;sip_route
111.002;70;sip_route
111.002;9;sip_route
114.002;9;sip_route
115.002;10;sip_route
115.002;15;sip_route
116.002;20;sip_route
116.002;16;sip_route
116.002;11;sip_route
117.002;76;sip_route
120.002;10;sip_route
123.002;80;sip_route
123.002;13;sip_route
123.002;13;sip_route
124.002;17;sip_route
124.002;17;sip_route
128.002;12;sip_route
129.002;14;sip_route
129.002;14;sip_route
130.002;15;sip_route
132.002;13;sip_route
132.002;17;sip_route
132.002;16;sip_route
133.002;15;sip_route
135.002;6;sip_route
135.002;92;sip_route
137.002;9;sip_route
137.002;8;sip_route
137.002;10;sip_route
138.002;18;sip_route
138.002;7;sip_route
138.002;15;sip_route
139.002;19;sip_route
140.002;17;sip_route
142.002;99;sip_route
142.002;19;sip_route
142.002;17;sip_route
144.002;19;sip_route
144.002;7;sip_route
144.002;11;sip_route
144.002;9;sip_route
147.002;12;sip_route
147.002;86;sip_route
147.002;10;sip_route
148.002;17;sip_route
148.002;76;sip_route
148.002;15;sip_route
149.002;96;sip_route
149.002;9;sip_route
149.002;9;sip_route
149.002;99;sip_route
151.002;105;sip_route
151.002;105;sip_route
151.002;101;sip_route
152.002;91;sip_route
152.002;91;sip_route
153.002;65;sip_route
153.002;65;sip_route
155.002;11;sip_route
155.002;83;sip_route
156.002;85;sip_route
156.002;9;sip_route
157.002;15;sip_route
157.002;15;sip_route
159.002;17;sip_route
159.002;88;sip_route
159.002;15;sip_route
164.002;11;sip_route
164.002;17;sip_route
166.002;19;sip_route
166.002;17;sip_route
166.002;17;sip_route
166.002;101;sip_route
167.002;102;sip_route
