procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 1133240 4263040 160104 2496144    0    0     7    89 1027    9  2  1 97  0  0  0
 3  0 1133240 4252104 160144 2498268   12    0    56   632 6500 16898 57 24 18  1  0  0
 0  0 1133240 4232196 160184 2500544    0    0     0   420 5212 15030 53 23 24  0  0  0
 0  0 1133240 4199436 160184 2502788    0    0     0     0 5499 15962 54 21 24  0  0  0
 1  0 1133240 4165416 160184 2505116    0    0     0     0 5231 15144 55 18 26  0  0  0
 4  0 1133240 4115016 160184 2507316    0    0     0     0 5493 15368 57 22 22  0  0  0
 3  0 1133240 4098888 160184 2509612    0    0     0 11772 5219 13431 53 19 29  0  0  0
 2  0 1133240 4088808 160192 2511852    0    0     0   140 5419 14240 56 18 26  0  0  0
 5  0 1133240 4085560 160192 2514092   20    0    20     0 5016 13175 56 20 25  0  0  0
 3  0 1133240 4083076 160192 2516404    0    0     0     0 5309 13290 59 23 17  0  0  0
 3  0 1133240 4064180 160192 2518744    0    0     0     0 5019 13191 54 20 27  0  0  0
 0  0 1133240 4058132 160192 2520912    4    0     4     4 5323 14502 56 18 26  0  0  0
 0  0 1133240 4058132 160228 2523272    0    0     0   472 5177 13584 55 19 26  0  0  0
 2  0 1133240 4053092 160228 2525500    0    0     0     0 5330 14330 55 19 26  0  0  0
 3  0 1133240 4048304 160228 2527816    0    0     0     0 5159 13649 52 18 31  0  0  0
 4  0 1133240 4053716 160228 2530124    0    0     0     0 5403 14491 53 21 26  0  0  0
 2  0 1133240 4045936 160236 2532300    0    0     0   272 4979 12916 54 21 25  0  0  0
 3  0 1133240 4037660 160236 2534580    0    0     0     0 5415 14457 56 19 25  0  0  0
 2  0 1133240 4034636 160236 2536888    0    0     0     8 4597 11458 66 16 17  0  0  0
 4  0 1133240 4032632 160236 2539156    0    0     0     0 5215 13759 57 19 23  0  0  0
 5  0 1133240 4022804 160236 2541412    0    0     0     0 5221 13507 56 19 24  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
