CurrentTime;ElapsedTime;0_INVITE_Sent;0_INVITE_Retrans;0_INVITE_Timeout;1_100_Recv;1_100_Retrans;1_100_Timeout;1_100_Unexp;2_486_Recv;2_486_Retrans;2_486_Timeout;2_486_Unexp;3_ACK_Sent;3_ACK_Retrans;3_ACK_Timeout;4_Pause_Sessions;4_Pause_Unexp;
2026-08-09	06:37:24.437839	1786257444.437839;00:00:00:001000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-08-09	06:37:25.439061	1786257445.439061;00:00:01:002000;19;0;0;19;0;0;0;19;0;0;0;19;0;0;19;0;
2026-08-09	06:37:26.440784	1786257446.440784;00:00:02:004000;40;0;0;40;0;0;0;39;0;0;0;39;0;0;39;0;
2026-08-09	06:37:27.443349	1786257447.443349;00:00:03:007000;60;0;0;60;0;0;0;60;0;0;0;60;0;0;60;0;
2026-08-09	06:37:28.445214	1786257448.445214;00:00:04:008000;80;0;0;80;0;0;0;80;0;0;0;80;0;0;80;0;
2026-08-09	06:37:29.445502	1786257449.445502;00:00:05:009000;100;0;0;100;0;0;0;100;0;0;0;100;0;0;100;0;
2026-08-09	06:37:29.469175	1786257449.469175;00:00:05:032000;100;0;0;100;0;0;0;100;0;0;0;100;0;0;100;0;
2026-08-09	06:37:29.469364	1786257449.469364;00:00:05:033000;100;0;0;100;0;0;0;100;0;0;0;100;0;0;100;0;
