CurrentTime;ElapsedTime;0_INVITE_Sent;0_INVITE_Retrans;0_INVITE_Timeout;1_503_Recv;1_503_Retrans;1_503_Timeout;1_503_Unexp;2_ACK_Sent;2_ACK_Retrans;2_ACK_Timeout;3_Pause_Sessions;3_Pause_Unexp;
2026-08-09	06:38:34.103000	1786257514.103000;00:00:00:001000;0;0;0;0;0;0;0;0;0;0;0;0;
2026-08-09	06:38:35.103733	1786257515.103733;00:00:01:002000;49;0;0;49;0;0;0;49;0;0;49;0;
2026-08-09	06:38:36.106341	1786257516.106341;00:00:02:004000;100;0;0;100;0;0;0;100;0;0;100;0;
2026-08-09	06:38:36.131107	1786257516.131107;00:00:02:029000;100;0;0;100;0;0;0;100;0;0;100;0;
2026-08-09	06:38:36.131293	1786257516.131293;00:00:02:029000;100;0;0;100;0;0;0;100;0;0;100;0;
